Period,Region,Product,Channel,Revenue,Gross_Profit,EBITDA,COGS,OPEX,Budget_Revenue,Variance,Prior_Year_Revenue,YoY_Growth_Pct,Units_Sold
Jan-24,North,Product A,Online,1926,1118,713,808,405,1894,32,1916,0.5,18446
Feb-24,North,Product A,Online,2259,1169,689,1090,480,2128,131,1994,13.3,6218
Mar-24,North,Product A,Online,1660,833,473,827,360,1602,58,1605,3.4,9735
Apr-24,North,Product A,Retail,2094,1279,971,815,308,2105,-11,1923,8.9,16296
May-24,North,Product A,Retail,1930,963,624,967,339,2091,-161,1910,1.0,9555
Jun-24,North,Product A,Retail,1895,1111,824,784,287,2069,-174,1723,10.0,14146
Jul-24,North,Product B,B2B,1844,1120,703,724,417,1699,145,1839,0.3,13050
Aug-24,North,Product B,B2B,2438,1049,556,1389,493,2492,-54,2305,5.8,17757
Sep-24,North,Product B,B2B,921,394,235,527,159,924,-3,957,-3.8,24830
Oct-24,North,Product B,Wholesale,1266,581,396,685,185,1220,46,1143,10.8,22429
Nov-24,North,Product B,Wholesale,2038,1140,792,898,348,1923,115,1911,6.6,11893
Dec-24,North,Product B,Wholesale,1130,679,485,451,194,1115,15,1016,11.2,23077
Jan-24,South,Product A,Online,2282,1103,618,1179,485,2529,-247,2366,-3.6,19373
Feb-24,South,Product A,Online,887,472,292,415,180,873,14,912,-2.7,19565
Mar-24,South,Product A,Online,2196,1308,806,888,502,2248,-52,2028,8.3,8436
Apr-24,South,Product A,Retail,1923,1002,642,921,360,2039,-116,1907,0.8,13754
May-24,South,Product A,Retail,1671,1025,772,646,253,1658,13,1702,-1.8,15677
Jun-24,South,Product A,Retail,2487,1090,565,1397,525,2771,-284,2423,2.6,10895
Jul-24,South,Product B,B2B,930,529,329,401,200,1034,-104,902,3.1,24738
Aug-24,South,Product B,B2B,2485,1212,725,1273,487,2411,74,2288,8.6,21609
Sep-24,South,Product B,B2B,2132,1189,727,943,462,2173,-41,1909,11.7,20636
Oct-24,South,Product B,Wholesale,1569,810,513,759,297,1537,32,1620,-3.1,12022
Nov-24,South,Product B,Wholesale,1143,584,365,559,219,1116,27,1180,-3.1,14151
Dec-24,South,Product B,Wholesale,2315,1350,927,965,423,2146,169,2286,1.3,10600
Jan-24,East,Product A,Online,2237,954,636,1283,318,2330,-93,2097,6.7,12996
Feb-24,East,Product A,Online,1605,747,505,858,242,1637,-32,1507,6.5,14007
Mar-24,East,Product A,Online,1185,513,344,672,169,1102,83,1189,-0.3,17946
Apr-24,East,Product A,Retail,2015,889,479,1126,410,1966,49,2080,-3.1,9642
May-24,East,Product A,Retail,1755,879,579,876,300,1933,-178,1809,-3.0,16312
Jun-24,East,Product A,Retail,1076,469,264,607,205,1041,35,1089,-1.2,12679
Jul-24,East,Product B,B2B,1984,1195,738,789,457,1882,102,1962,1.1,13208
Aug-24,East,Product B,B2B,1259,732,525,527,207,1281,-22,1125,11.9,23589
Sep-24,East,Product B,B2B,2137,1306,920,831,386,2387,-250,1939,10.2,15716
Oct-24,East,Product B,Wholesale,821,456,280,365,176,795,26,847,-3.1,22453
Nov-24,East,Product B,Wholesale,1052,571,400,481,171,1109,-57,1034,1.7,8444
Dec-24,East,Product B,Wholesale,1547,876,648,671,228,1658,-111,1363,13.5,15757
Jan-24,West,Product A,Online,1656,753,474,903,279,1602,54,1485,11.5,19434
Feb-24,West,Product A,Online,2384,1308,936,1076,372,2540,-156,2366,0.8,6060
Mar-24,West,Product A,Online,1274,719,423,555,296,1265,9,1122,13.5,23711
Apr-24,West,Product A,Retail,1882,963,548,919,415,1969,-87,1707,10.3,8420
May-24,West,Product A,Retail,1310,776,510,534,266,1371,-61,1275,2.7,5301
Jun-24,West,Product A,Retail,2299,1057,535,1242,522,2361,-62,2293,0.3,17468
Jul-24,West,Product B,B2B,1499,908,578,591,330,1406,93,1485,0.9,21990
Aug-24,West,Product B,B2B,1775,751,470,1024,281,1929,-154,1629,9.0,24554
Sep-24,West,Product B,B2B,989,461,235,528,226,973,16,990,-0.1,5699
Oct-24,West,Product B,Wholesale,1757,1020,680,737,340,1681,76,1617,8.7,5190
Nov-24,West,Product B,Wholesale,1486,920,592,566,328,1379,107,1389,7.0,15492
Dec-24,West,Product B,Wholesale,1757,803,400,954,403,1824,-67,1769,-0.7,22364
