Year,Quarter,Month,Month_Num,Market,Category,Brand,Channel,Type,Base_NR_AUD000,Trade_Promo_AUD000,Net_Revenue_AUD000,COGS_AUD000,Gross_Profit_AUD000,OPEX_AUD000,EBITDA_AUD000,Volume_Units,Budget_NR_AUD000,Variance_NR_AUD000,PY_NR_AUD000
2023,Q1,Jan,1,North America,Starter Plan,Starter Plan,Partner,SaaS,2191.0,119.0,2072.0,690.0,1382.0,655.0,727.0,78,2163.0,-91.0,1665.0
2023,Q1,Jan,1,North America,Pro Plan,Pro Plan,Partner,SaaS,3923.0,249.0,3674.0,921.0,2753.0,1207.0,1546.0,365,3384.0,290.0,3669.0
2023,Q1,Jan,1,North America,Enterprise Plan,Enterprise Plan,Partner,SaaS,2187.0,138.0,2049.0,607.0,1442.0,558.0,884.0,421,2246.0,-197.0,2016.0
2023,Q1,Jan,1,Europe,Starter Plan,Starter Plan,Direct Sales,SaaS,2752.0,104.0,2648.0,867.0,1781.0,1000.0,781.0,441,2427.0,221.0,2509.0
2023,Q1,Jan,1,Europe,Pro Plan,Pro Plan,Partner,SaaS,1658.0,73.0,1585.0,438.0,1147.0,527.0,620.0,220,1711.0,-126.0,1305.0
2023,Q1,Jan,1,Europe,Enterprise Plan,Enterprise Plan,Marketplace,SaaS,3304.0,173.0,3131.0,1028.0,2103.0,993.0,1110.0,103,3161.0,-30.0,3119.0
2023,Q1,Jan,1,APAC,Starter Plan,Starter Plan,Direct Sales,SaaS,1912.0,61.0,1851.0,523.0,1328.0,692.0,636.0,406,2058.0,-207.0,1835.0
2023,Q1,Jan,1,APAC,Pro Plan,Pro Plan,Partner,SaaS,2791.0,147.0,2644.0,664.0,1980.0,988.0,992.0,417,2871.0,-227.0,2379.0
2023,Q1,Jan,1,APAC,Enterprise Plan,Enterprise Plan,Marketplace,SaaS,3008.0,145.0,2863.0,767.0,2096.0,758.0,1338.0,346,2578.0,285.0,2595.0
2023,Q1,Jan,1,LATAM,Starter Plan,Starter Plan,Self-Serve,SaaS,2417.0,118.0,2299.0,496.0,1803.0,884.0,919.0,271,2485.0,-186.0,2351.0
