Txn_ID,Year,Month,Month_Num,Quarter,Market,Category,Brand,Channel,Volume_Units,Base_NR_AUD000,Trade_Promo_AUD000,Net_Revenue_AUD000,COGS_AUD000,Gross_Profit_AUD000,OPEX_AUD000,EBITDA_AUD000,GP_Margin_Pct,EBITDA_Margin_Pct,Type,Budget_NR_AUD000,Variance_NR_AUD000,Variance_Pct,PY_NR_AUD000,YoY_Growth_Pct
UL000001,2022,Jan,1,Q1,Australia,Foods & Refreshment,Knorr,Supermarket,1274.0,61.2,5.0,56.1,27.4,28.7,9.3,19.5,0.51,0.35,Actual,64.6,-8.5,-0.13,61.2,-0.08
UL000002,2022,Jan,1,Q1,Australia,Foods & Refreshment,Knorr,Convenience,729.0,34.5,3.1,31.5,16.1,15.4,5.4,10.0,0.49,0.32,Actual,37.4,-5.9,-0.16,34.5,-0.09
UL000003,2022,Jan,1,Q1,Australia,Foods & Refreshment,Knorr,Online,685.0,32.6,2.9,29.7,15.1,14.6,4.9,9.8,0.49,0.33,Actual,34.0,-4.3,-0.13,32.6,-0.09
UL000004,2022,Jan,1,Q1,Australia,Foods & Refreshment,Knorr,Pharmacy,393.0,19.2,1.7,17.5,9.0,8.6,2.9,5.7,0.49,0.33,Actual,20.4,-2.9,-0.14,19.2,-0.09
UL000005,2022,Jan,1,Q1,Australia,Foods & Refreshment,Knorr,Foodservice,287.0,13.8,1.2,12.6,6.6,6.0,2.2,3.9,0.48,0.31,Actual,13.6,-1.0,-0.07,13.8,-0.09
UL000006,2022,Jan,1,Q1,Australia,Foods & Refreshment,Hellmann's,Supermarket,796.0,41.2,3.7,37.5,18.5,19.1,6.0,13.1,0.51,0.35,Actual,43.1,-5.5,-0.13,41.2,-0.09
UL000007,2022,Jan,1,Q1,Australia,Foods & Refreshment,Hellmann's,Convenience,522.0,25.9,2.4,23.4,11.7,11.7,4.2,7.5,0.5,0.32,Actual,24.9,-1.5,-0.06,25.9,-0.09
UL000008,2022,Jan,1,Q1,Australia,Foods & Refreshment,Hellmann's,Online,452.0,23.5,2.1,21.4,10.5,10.9,3.8,7.1,0.51,0.33,Actual,22.7,-1.3,-0.06,23.5,-0.09
UL000009,2022,Jan,1,Q1,Australia,Foods & Refreshment,Hellmann's,Pharmacy,277.0,13.7,1.3,12.4,6.5,5.9,2.2,3.7,0.48,0.3,Actual,13.6,-1.2,-0.09,13.7,-0.1
UL000010,2022,Jan,1,Q1,Australia,Foods & Refreshment,Hellmann's,Foodservice,156.0,8.1,0.6,7.5,3.7,3.7,1.3,2.4,0.5,0.32,Actual,9.1,-1.6,-0.18,8.1,-0.08
UL000011,2022,Jan,1,Q1,Australia,Foods & Refreshment,Lipton,Supermarket,677.0,34.1,2.7,31.4,15.5,15.9,5.0,10.9,0.51,0.35,Actual,35.9,-4.5,-0.12,34.1,-0.08
UL000012,2022,Jan,1,Q1,Australia,Foods & Refreshment,Lipton,Convenience,391.0,20.1,1.6,18.4,9.5,8.9,3.0,6.0,0.49,0.32,Actual,20.8,-2.4,-0.11,20.1,-0.08
UL000013,2022,Jan,1,Q1,Australia,Foods & Refreshment,Lipton,Online,358.0,17.5,1.6,15.9,8.2,7.7,2.7,5.1,0.49,0.32,Actual,18.9,-3.0,-0.16,17.5,-0.09
UL000014,2022,Jan,1,Q1,Australia,Foods & Refreshment,Lipton,Pharmacy,243.0,11.6,0.9,10.7,5.6,5.2,1.8,3.3,0.48,0.31,Actual,11.3,-0.6,-0.06,11.6,-0.08
UL000015,2022,Jan,1,Q1,Australia,Foods & Refreshment,Lipton,Foodservice,142.0,7.4,0.7,6.7,3.3,3.5,1.1,2.4,0.52,0.35,Actual,7.6,-0.8,-0.11,7.4,-0.09
UL000016,2022,Jan,1,Q1,Australia,Beauty & Personal Care,Dove,Supermarket,1021.0,48.9,3.9,45.0,22.0,23.0,7.7,15.3,0.51,0.34,Actual,53.6,-8.6,-0.16,48.9,-0.08
UL000017,2022,Jan,1,Q1,Australia,Beauty & Personal Care,Dove,Convenience,593.0,31.3,3.3,28.0,13.6,14.4,4.9,9.5,0.52,0.34,Actual,31.0,-3.0,-0.1,31.3,-0.11
